control,seed,attack,attack_status,memorisation_gate_passed,train_size,num_attack_examples,train_auc,test_auc,auc_gap,loss_gap,accuracy_gap,num_shadows,min_out_observations,min_in_observations,lira_auc,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.1,detected_members_at_1pct_fpr,false_positives_at_1pct_fpr,aggregate_tpr_ci_low,aggregate_tpr_ci_high,permutation_p_aggregate_auc,permutation_p_aggregate_tpr,permutation_null_auc_mean,permutation_null_auc_ci_low,permutation_null_auc_ci_high,permutation_null_tpr_mean,permutation_null_tpr_ci_low,permutation_null_tpr_ci_high,permutation_p_signed_difference,permutation_p_absolute_gap,permutation_null_signed_ci_low,permutation_null_signed_ci_high,permutation_null_gap_ci_low,permutation_null_gap_ci_high,signed_subgroup_difference,absolute_subgroup_gap,signed_difference_ci_low,signed_difference_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,female_lira_auc,female_tpr_at_fpr_0.01,female_tpr_ci_low,female_tpr_ci_high,female_permutation_p,male_lira_auc,male_tpr_at_fpr_0.01,male_tpr_ci_low,male_tpr_ci_high,male_permutation_p
matched_capacity_mlp,42,lira-offline,skipped_memorisation_gate,False,856,512,0.9766491614988209,0.9614301801801802,0.015218981318640634,0.012648078767693721,-0.002894406472311317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matched_capacity_mlp,43,lira-offline,completed,True,856,516,0.9748122106734212,0.9209260202637686,0.05388619040965259,0.1564560469404138,0.0465546101269354,32.0,11.0,20.0,0.5282885643891593,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.027131782945736434,0.13786213786213786,1.0,0.500164428219458,0.45029407787993514,0.5474584610299862,0.011558139534883723,0.0,0.03875968992248062,0.8211788211788211,0.8211788211788211,-0.03875968992248062,0.046511627906976744,0.0,0.05426356589147287,-0.007751937984496124,0.007751937984496124,-0.03875968992248062,0.03875968992248062,0.0,0.046511627906976744,0.5561564809807102,0.007751937984496124,0.0,0.046511627906976744,0.7312687312687313,0.5034553211946398,0.0,0.0,0.046511627906976744,1.0
matched_capacity_mlp,43,lira-online,completed,True,856,516,0.9748122106734212,0.9209260202637686,0.05388619040965259,0.1564560469404138,0.0465546101269354,32.0,11.0,20.0,0.5131828015143322,0.003875968992248062,0.003875968992248062,0.10077519379844961,1.0,0.0,0.0,0.031007751937984496,0.2967032967032967,0.8721278721278721,0.49954606844540594,0.45276050117180455,0.551682403401238,0.011062015503875968,0.0,0.031007751937984496,1.0,1.0,-0.046511627906976744,0.03875968992248062,0.0,0.04670542635658897,0.0,0.0,-0.03875968992248062,0.046511627906976744,0.0,0.05426356589147287,0.5474731085872243,0.007751937984496124,0.0,0.046511627906976744,0.7572427572427572,0.4800793221561205,0.007751937984496124,0.0,0.05426356589147287,0.7492507492507493
matched_capacity_mlp,44,lira-offline,completed,True,856,524,0.9710127522054327,0.9301339285714285,0.04087882363400419,0.06964825031318,0.01225763704840277,32.0,11.0,20.0,0.5082818600314667,0.011450381679389313,0.015267175572519083,0.10305343511450382,4.0,1.0,0.003816793893129771,0.03435114503816794,0.36363636363636365,0.34165834165834164,0.5007007531612376,0.4506333401316939,0.5525721476021211,0.011259541984732828,0.0,0.03435114503816794,1.0,1.0,-0.03816793893129771,0.04580152671755725,0.0,0.05343511450381679,0.0,0.0,-0.05343511450381679,0.0534351145038168,0.0,0.061068702290076333,0.49734863935668083,0.030534351145038167,0.0,0.06125954198473265,0.19080919080919082,0.5211234776528174,0.030534351145038167,0.0,0.07633587786259542,0.2017982017982018
matched_capacity_mlp,44,lira-online,completed,True,856,524,0.9710127522054327,0.9301339285714285,0.04087882363400419,0.06964825031318,0.01225763704840277,32.0,11.0,20.0,0.5044723500961482,0.003816793893129771,0.019083969465648856,0.0916030534351145,5.0,1.0,0.0,0.04580152671755725,0.41058941058941056,0.2087912087912088,0.49924753073830197,0.4507109142823845,0.5501485927393508,0.01118702290076336,0.0,0.03435114503816794,0.8031968031968032,0.8031968031968032,-0.04580152671755725,0.04580152671755725,0.0,0.0534351145038168,-0.007633587786259541,0.007633587786259541,-0.0534351145038168,0.03816793893129771,0.0,0.0534351145038168,0.5305343511450381,0.030534351145038167,0.0,0.06870229007633588,0.17382617382617382,0.4797505972845405,0.022900763358778626,0.0,0.05343511450381679,0.3226773226773227
memorising_mlp,42,lira-offline,completed,True,856,512,0.9998990086470435,0.9407376126126125,0.059161396034431046,0.7457612116120144,0.09351025247593803,32.0,11.0,20.0,0.5858612060546875,0.046875,0.0546875,0.20703125,14.0,2.0,0.02734375,0.08203125,0.000999000999000999,0.003996003996003996,0.5004575576782226,0.45152873992919923,0.5536762237548828,0.01178515625,0.0,0.03515625,0.015984015984015984,0.015984015984015984,-0.0390625,0.046875,0.0,0.046875,0.0625,0.0625,0.0078125,0.203125,0.0078125,0.203125,0.5318603515625,0.0234375,0.0,0.0546875,0.2987012987012987,0.6361083984375,0.0859375,0.0390625,0.21875,0.004995004995004995
memorising_mlp,42,lira-online,completed,True,856,512,0.9998990086470435,0.9407376126126125,0.059161396034431046,0.7457612116120144,0.09351025247593803,32.0,11.0,20.0,0.6419906616210938,0.0078125,0.0078125,0.203125,2.0,0.0,0.0,0.02734375,0.000999000999000999,0.7112887112887113,0.4996016845703125,0.4452718734741211,0.5505922317504883,0.01186328125,0.0,0.03515625,0.8111888111888111,0.8111888111888111,-0.0390625,0.046875,0.0,0.0546875,0.0078125,0.0078125,-0.02363281249999999,0.0625,0.0,0.0703125,0.612335205078125,0.0078125,0.0,0.046875,0.7642357642357642,0.670074462890625,0.015625,0.0,0.0703125,0.5254745254745254
memorising_mlp,43,lira-offline,completed,True,856,516,0.999945410079483,0.923246731193751,0.07669867888573201,1.061492425896315,0.12079787976007805,32.0,11.0,20.0,0.5793897602307554,0.031007751937984496,0.05813953488372093,0.1511627906976744,15.0,2.0,0.023255813953488372,0.09689922480620156,0.001998001998001998,0.001998001998001998,0.5002941980650201,0.45426450483744973,0.5489849993990746,0.012031007751937984,0.0,0.03488372093023256,1.0,1.0,-0.03875968992248062,0.038953488372092844,0.0,0.04670542635658897,0.0,0.0,-0.07771317829457364,0.06976744186046512,0.0,0.08527131782945736,0.6024277387176251,0.06201550387596899,0.023255813953488372,0.13178294573643412,0.014985014985014986,0.5554353704705246,0.06201550387596899,0.023255813953488372,0.10852713178294573,0.023976023976023976
memorising_mlp,43,lira-online,completed,True,856,516,0.999945410079483,0.923246731193751,0.07669867888573201,1.061492425896315,0.12079787976007805,32.0,11.0,20.0,0.6254807403401238,0.011627906976744186,0.011627906976744186,0.13178294573643412,3.0,0.0,0.003875968992248062,0.03488372093023256,0.000999000999000999,0.4945054945054945,0.49914640796827114,0.4506512529295115,0.5499536160687459,0.011496124031007754,0.0,0.03488372093023256,0.5184815184815185,0.5184815184815185,-0.03875968992248062,0.03875968992248062,0.0,0.046511627906976744,-0.015503875968992248,0.015503875968992248,-0.05426356589147287,0.06976744186046512,0.0,0.07751937984496124,0.5975301965026141,0.023255813953488372,0.007751937984496124,0.06201550387596899,0.3246753246753247,0.6573523225767682,0.007751937984496124,0.0,0.09302325581395349,0.7412587412587412
memorising_mlp,44,lira-offline,completed,True,856,524,0.9998744431828107,0.9386718749999999,0.06120256818281078,0.7619646961967209,0.08043311479983262,32.0,11.0,20.0,0.5582498106170969,0.03435114503816794,0.07251908396946564,0.1450381679389313,19.0,2.0,0.019083969465648856,0.10687022900763359,0.012987012987012988,0.000999000999000999,0.49977653545830664,0.4532648519899773,0.5509230595536391,0.011767175572519085,0.0,0.03435114503816794,0.8271728271728271,0.8271728271728271,-0.03816793893129771,0.04580152671755725,0.0,0.045992366412213576,-0.007633587786259541,0.007633587786259541,-0.08396946564885496,0.07633587786259542,0.0,0.0916030534351145,0.552357088747742,0.07633587786259542,0.007633587786259542,0.1297709923664122,0.003996003996003996,0.5643319153895461,0.06870229007633588,0.022900763358778626,0.10687022900763359,0.01098901098901099
