task,model,privacy_mechanism,epsilon,delta,seed,metric,value
high_cost,dummy,none,inf,,0,roc_auc,0.5
high_cost,dummy,none,inf,,0,pr_auc,0.4626865671641791
high_cost,dummy,none,inf,,0,accuracy,0.4626865671641791
high_cost,dummy,none,inf,,0,precision,0.4626865671641791
high_cost,dummy,none,inf,,0,recall,1.0
high_cost,dummy,none,inf,,0,f1,0.6326530612244898
high_cost,dummy,none,inf,,0,macro_f1,0.3163265306122449
high_cost,dummy,none,inf,,0,brier,0.25
high_cost,dummy,none,inf,,0,ece,0.03731343283582089
high_cost,dummy,none,inf,,0,threshold,0.5
high_cost,dummy,none,inf,,0,demographic_parity_difference,0.0
high_cost,dummy,none,inf,,0,equalized_odds_difference,0.0
high_cost,dummy,none,inf,,0,tpr_group_female,1.0
high_cost,dummy,none,inf,,0,tpr_group_male,1.0
high_cost,dummy,none,inf,,0,fpr_group_female,1.0
high_cost,dummy,none,inf,,0,fpr_group_male,1.0
high_cost,dummy,none,inf,,0,group_size_female,119.0
high_cost,dummy,none,inf,,0,group_size_male,149.0
high_cost,logistic,none,inf,,0,roc_auc,0.9455645161290323
high_cost,logistic,none,inf,,0,pr_auc,0.963169374724926
high_cost,logistic,none,inf,,0,accuracy,0.9216417910447762
high_cost,logistic,none,inf,,0,precision,1.0
high_cost,logistic,none,inf,,0,recall,0.8306451612903226
high_cost,logistic,none,inf,,0,f1,0.9074889867841409
high_cost,logistic,none,inf,,0,macro_f1,0.9197639108677986
high_cost,logistic,none,inf,,0,brier,0.08236650216554227
high_cost,logistic,none,inf,,0,ece,0.12550935883458844
high_cost,logistic,none,inf,,0,threshold,0.6909720753768844
high_cost,logistic,none,inf,,0,demographic_parity_difference,0.04134002594326319
high_cost,logistic,none,inf,,0,equalized_odds_difference,0.1411364231474208
high_cost,logistic,none,inf,,0,tpr_group_female,0.7543859649122807
high_cost,logistic,none,inf,,0,tpr_group_male,0.8955223880597015
high_cost,logistic,none,inf,,0,fpr_group_female,0.0
high_cost,logistic,none,inf,,0,fpr_group_male,0.0
high_cost,logistic,none,inf,,0,group_size_female,119.0
high_cost,logistic,none,inf,,0,group_size_male,149.0
high_cost,svm,none,inf,,0,roc_auc,0.9550291218637993
high_cost,svm,none,inf,,0,pr_auc,0.9696138075059886
high_cost,svm,none,inf,,0,accuracy,0.9402985074626866
high_cost,svm,none,inf,,0,precision,1.0
high_cost,svm,none,inf,,0,recall,0.8709677419354839
high_cost,svm,none,inf,,0,f1,0.9310344827586207
high_cost,svm,none,inf,,0,macro_f1,0.9392014519056261
high_cost,svm,none,inf,,0,brier,0.05871836035794332
high_cost,svm,none,inf,,0,ece,0.06494912221527614
