task,model,epsilon,n_runs,brier,macro_f1,pr_auc,roc_auc
high_cost,dpsgd,0.49,5,"0.087 [0.065, 0.110]","0.891 [0.853, 0.929]","0.952 [0.931, 0.973]","0.933 [0.909, 0.957]"
high_cost,dpsgd,2.00,5,"0.071 [0.050, 0.091]","0.913 [0.882, 0.945]","0.964 [0.951, 0.976]","0.944 [0.927, 0.960]"
high_cost,dpsgd,6.00,5,"0.070 [0.050, 0.089]","0.914 [0.889, 0.939]","0.964 [0.953, 0.976]","0.945 [0.928, 0.961]"
high_cost,dummy,inf,5,"0.250 [0.250, 0.250]","0.331 [0.312, 0.350]","0.496 [0.454, 0.537]","0.500 [0.500, 0.500]"
high_cost,gradient_boosting,inf,5,"0.062 [0.053, 0.071]","0.934 [0.919, 0.949]","0.969 [0.963, 0.976]","0.953 [0.941, 0.966]"
high_cost,logistic,inf,5,"0.082 [0.066, 0.098]","0.917 [0.899, 0.936]","0.964 [0.951, 0.977]","0.944 [0.927, 0.962]"
high_cost,neural,inf,5,"0.053 [0.040, 0.065]","0.947 [0.936, 0.959]","0.970 [0.961, 0.979]","0.952 [0.936, 0.967]"
high_cost,svm,inf,5,"0.063 [0.048, 0.078]","0.925 [0.914, 0.936]","0.967 [0.955, 0.978]","0.947 [0.929, 0.966]"
smoker_with_charges_legacy,dpsgd,0.49,5,"0.051 [0.029, 0.074]","0.907 [0.852, 0.961]","0.931 [0.895, 0.967]","0.981 [0.968, 0.994]"
smoker_with_charges_legacy,dpsgd,2.00,5,"0.038 [0.023, 0.053]","0.949 [0.927, 0.972]","0.942 [0.915, 0.969]","0.987 [0.979, 0.994]"
smoker_with_charges_legacy,dpsgd,6.00,5,"0.037 [0.022, 0.052]","0.948 [0.926, 0.971]","0.940 [0.916, 0.965]","0.986 [0.980, 0.993]"
smoker_with_charges_legacy,dummy,inf,5,"0.163 [0.163, 0.163]","0.170 [0.170, 0.170]","0.205 [0.205, 0.205]","0.500 [0.500, 0.500]"
smoker_with_charges_legacy,gradient_boosting,inf,5,"0.030 [0.024, 0.036]","0.949 [0.916, 0.982]","0.969 [0.964, 0.974]","0.993 [0.991, 0.994]"
smoker_with_charges_legacy,logistic,inf,5,"0.036 [0.027, 0.046]","0.960 [0.943, 0.977]","0.937 [0.901, 0.973]","0.986 [0.979, 0.994]"
smoker_with_charges_legacy,neural,inf,5,"0.033 [0.021, 0.045]","0.955 [0.929, 0.982]","0.936 [0.893, 0.980]","0.986 [0.978, 0.995]"
smoker_with_charges_legacy,svm,inf,5,"0.031 [0.020, 0.042]","0.949 [0.925, 0.972]","0.879 [0.786, 0.971]","0.983 [0.972, 0.995]"
smoker_without_charges,dpsgd,0.49,5,"0.193 [0.188, 0.198]","0.215 [0.168, 0.263]","0.207 [0.174, 0.239]","0.486 [0.450, 0.522]"
smoker_without_charges,dpsgd,2.00,5,"0.182 [0.179, 0.185]","0.242 [0.172, 0.313]","0.228 [0.187, 0.269]","0.525 [0.481, 0.570]"
smoker_without_charges,dpsgd,6.00,5,"0.179 [0.177, 0.182]","0.260 [0.196, 0.325]","0.238 [0.193, 0.283]","0.536 [0.494, 0.577]"
smoker_without_charges,dummy,inf,5,"0.163 [0.163, 0.163]","0.170 [0.170, 0.170]","0.205 [0.205, 0.205]","0.500 [0.500, 0.500]"
smoker_without_charges,gradient_boosting,inf,5,"0.195 [0.184, 0.206]","0.314 [0.205, 0.423]","0.228 [0.199, 0.257]","0.528 [0.500, 0.557]"
smoker_without_charges,logistic,inf,5,"0.164 [0.161, 0.168]","0.381 [0.279, 0.483]","0.229 [0.196, 0.262]","0.537 [0.489, 0.584]"
smoker_without_charges,neural,inf,5,"0.164 [0.161, 0.168]","0.329 [0.173, 0.484]","0.234 [0.192, 0.276]","0.536 [0.485, 0.587]"
smoker_without_charges,svm,inf,5,"0.163 [0.163, 0.163]","0.240 [0.172, 0.309]","0.210 [0.179, 0.240]","0.478 [0.414, 0.542]"
